id,area,sitename,desc,link,lat,lng,ebird_hotspot_id,youtube_id,accessibility,photos
1,Kingston,Kingston Marina/Park,"Appletree Cove • Marine and mudflat habitats on quiet bay • American and Eurasian Wigeon, gulls • Public fishing pier, visitors dock, walkway viewing sites",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.79670297,-122.4993583,L5548250,PLACEHOLDER_YOUTUBE_ID,"Parking: Free lot on site | Wheelchair Access: Paved walkway along waterfront | Restrooms: Yes, year-round | Terrain: Flat paved paths and pier | Dogs Allowed: Yes, on leash",data/img/kingston-marina-1.jpg|data/img/kingston-marina-2.jpg|data/img/kingston-marina-3.jpg
2,Kingston,Arness County Park,"Marine and slough habitats • Opposite side of Appletree Cove with added view into Carpenter Creek slough • Portable toilet, small parking area.",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.79510316,-122.5059922,L1465511,PLACEHOLDER_YOUTUBE_ID,"Parking: Small gravel lot | Wheelchair Access: Limited — uneven surfaces | Restrooms: Portable toilet on site | Terrain: Gravel path, some uneven ground | Dogs Allowed: Yes, on leash",data/img/arness-park-1.jpg|data/img/arness-park-2.jpg|data/img/arness-park-3.jpg
3,Hansville,Point No Point County Park,"A designated IBA (Important Bird Area) • Extensive views of Admiralty Inlet • Marine, sandy beach, marsh, and wooded habitats • Best known for alcids, loons and cormorants, as well as large numbers of Bonaparte's and Heermann's gulls in the fall • Viewing platform, trails and beach access • Portable toilet, limited handicap access.",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.91467662,-122.5271803,L109542,PLACEHOLDER_YOUTUBE_ID,"Parking: Free lot on site | Wheelchair Access: Limited — viewing platform accessible, beach is not | Restrooms: Portable toilet on site | Terrain: Mixed — paved near lighthouse, sandy beach, wooded trail | Dogs Allowed: Yes, on leash",data/img/point-no-point-1.jpg|data/img/point-no-point-2.jpg|data/img/point-no-point-3.jpg
4,Hansville,Buck Lake County Park,"Aquatic and wooded habitats, open fields • Hooded Merganser and Pied-billed Grebe, warblers in migration • Extensive trail system called the Hansville Greenway",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.91051753,-122.5598035,L840942,PLACEHOLDER_YOUTUBE_ID,"Parking: Free lot at trailhead | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: Forested trails, some uneven ground | Dogs Allowed: Yes, on leash",data/img/buck-lake-1.jpg|data/img/buck-lake-2.jpg|data/img/buck-lake-3.jpg
5,Hansville,Norwegian County Park,"A short distance away, next to the Hansville general store, Norwegian County Park is fairly new. Like nearby Point-No-Point, it looks across the Admiralty Straits toward Whidbey Island, and gets much the same marine activity. Rafts of birds wander back and forth, so it is worth checking out both view locations. The Hansville Greenway links this area with trails through Buck Lake County Park, where Ospreys nest in the summer and Eagles reign in winter.",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.91910204,-122.5474109,L818127,PLACEHOLDER_YOUTUBE_ID,"Parking: Small roadside lot | Wheelchair Access: PLACEHOLDER | Restrooms: PLACEHOLDER | Terrain: Flat grassy bluff with beach access | Dogs Allowed: Yes, on leash",data/img/norwegian-park-1.jpg|data/img/norwegian-park-2.jpg|data/img/norwegian-park-3.jpg
6,Port Gamble,Port Gamble Historic District,"Marine habitat of the Hood Canal, wooded slopes, open lawns, bluff viewing platform, small park, no facilities",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.85440346,-122.5838543,L296606,PLACEHOLDER_YOUTUBE_ID,"Parking: Street parking available | Wheelchair Access: Bluff viewpoint is accessible | Restrooms: None on site | Terrain: Flat lawn and bluff overlook | Dogs Allowed: Yes, on leash",data/img/port-gamble-1.jpg|data/img/port-gamble-2.jpg|data/img/port-gamble-3.jpg
7,Port Gamble,Salisbury Point County Park,"Marine habitat of the Hood Canal, wooded habitats, boat launch, beach access, trails",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.85661568,-122.6079003,L470543,PLACEHOLDER_YOUTUBE_ID,"Parking: Free lot with boat trailer spaces | Wheelchair Access: PLACEHOLDER | Restrooms: Vault toilet on site | Terrain: Mixed — flat beach and wooded trail | Dogs Allowed: Yes, on leash",data/img/salisbury-point-1.jpg|data/img/salisbury-point-2.jpg|data/img/salisbury-point-3.jpg
8,Poulsbo,Poulsbo Marina and Waterfront Parks,"Marine, mudflat, and wooded habitats • A great diversity of marine birds in the winter • Public docks, boardwalk, trails",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.73560000,-122.64600000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Municipal lot adjacent to waterfront | Wheelchair Access: Boardwalk is fully accessible | Restrooms: Yes, near marina | Terrain: Flat paved boardwalk | Dogs Allowed: Yes, on leash",data/img/poulsbo-marina-1.jpg|data/img/poulsbo-marina-2.jpg|data/img/poulsbo-marina-3.jpg
9,Poulsbo,Oyster Plant Park,"Marine habitat, pocket park • Public dock and kayak launch • No facilities",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.72800000,-122.64100000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Street parking only | Wheelchair Access: Limited | Restrooms: None on site | Terrain: Flat waterfront path | Dogs Allowed: Yes, on leash",data/img/oyster-plant-park-1.jpg|data/img/oyster-plant-park-2.jpg|data/img/oyster-plant-park-3.jpg
10,Bainbridge,Faye Bainbridge Park,"Sandy beach, open marine and wooded habitats • Marine birds, Bald Eagle, Osprey • Trails, beach access, views across Puget Sound",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.71430000,-122.50900000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Free lot at park entrance | Wheelchair Access: PLACEHOLDER | Restrooms: Yes, year-round | Terrain: Sandy beach, wooded upland trails | Dogs Allowed: Yes, on leash",data/img/faye-bainbridge-1.jpg|data/img/faye-bainbridge-2.jpg|data/img/faye-bainbridge-3.jpg
11,Bainbridge,Battle Point Park,"Ponds, fields, woods • Winter ducks, summer passerines",https://www.kitsapaudubon.org/where-to-bird-in-kitsap-county,47.66900000,-122.57500000,PLACEHOLDER_EBIRD_ID,PLACEHOLDER_YOUTUBE_ID,"Parking: Free lot on site | Wheelchair Access: Paved paths around main fields | Restrooms: Yes, seasonal | Terrain: Flat — paved paths and mowed fields | Dogs Allowed: Yes, on leash",data/img/battle-point-1.jpg|data/img/battle-point-2.jpg|data/img/battle-point-3.jpg
